ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023
DZA,Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.568
DZA,Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",638.046
DZA,Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,958.48"
DZA,Algeria,Output gap in percent of potential GDP,Percent of potential GDP,,,
DZA,Algeria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2022",35.587
DZA,Algeria,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2022",36.155
DZA,Algeria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.683
DZA,Algeria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Algerian dinar Data last updated: 09/2022,n/a
DZA,Algeria,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,29.601
DZA,Algeria,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-11.304
DZA,Algeria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,70.315
DZA,Algeria,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.569
AND,Andorra,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2
AND,Andorra,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.599
AND,Andorra,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","67,735.00"
AND,Andorra,Output gap in percent of potential GDP,Percent of potential GDP,,,
AND,Andorra,Total investment,Percent of GDP,,,
AND,Andorra,Gross national savings,Percent of GDP,,,
AND,Andorra,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2.82
AND,Andorra,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: National definition Primary domestic currency: Euro Data last updated: 07/2022,1.8
AND,Andorra,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,38.22
AND,Andorra,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,2.198
AND,Andorra,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,40.742
AND,Andorra,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",17.272
AGO,Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.427
AGO,Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",262.898
AGO,Angola,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,753.10"
AGO,Angola,Output gap in percent of potential GDP,Percent of potential GDP,,,
AGO,Angola,Total investment,Percent of GDP,,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2021. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2022",22.415
AGO,Angola,Gross national savings,Percent of GDP,,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2021. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2022",27.833
AGO,Angola,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.75
AGO,Angola,Unemployment rate,Percent of total labor force,,,
AGO,Angola,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,20.207
AGO,Angola,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,0.01
AGO,Angola,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,52.497
AGO,Angola,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",5.418
ATG,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.629
ATG,Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.433
ATG,Antigua and Barbuda,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,807.08"
ATG,Antigua and Barbuda,Output gap in percent of potential GDP,Percent of potential GDP,,,
ATG,Antigua and Barbuda,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2020. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Nominal and real GDP are measured at market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2022,37.075
ATG,Antigua and Barbuda,Gross national savings,Percent of GDP,,Source: Central Bank Latest actual data: 2020. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Nominal and real GDP are measured at market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2022,22.326
ATG,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.49
ATG,Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,
ATG,Antigua and Barbuda,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,21.397
ATG,Antigua and Barbuda,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.329
ATG,Antigua and Barbuda,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,84.382
ATG,Antigua and Barbuda,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-14.75
ARG,Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.024
ARG,Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,275.55"
ARG,Argentina,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,276.62"
ARG,Argentina,Output gap in percent of potential GDP,Percent of potential GDP,,,
ARG,Argentina,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2022,21.483
ARG,Argentina,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2022,22.043
ARG,Argentina,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",76.067
ARG,Argentina,Unemployment rate,Percent of total labor force,,"Source: National Statistics Office. Since 1972 to 2002, the data are compiled two times a year for each district, in May and October.Since 2003 to the present, the survey is developed throughout all weeks of the year each of the 31 urban groups. The elaborated data base gathers quarterly information, that is to say 4 yearly estimations are issued; January-February-March /April-May-June / July-August-September / October-November-December.The data relate to the employment status of respondents during the reference week, which is the previous week before the date of the appointment. Latest actual data: 2020 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 09/2022",6.9
ARG,Argentina,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,32.295
ARG,Argentina,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-3.321
ARG,Argentina,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,69.541
ARG,Argentina,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.575
ARM,Armenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.523
ARM,Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",53.356
ARM,Armenia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,007.90"
ARM,Armenia,Output gap in percent of potential GDP,Percent of potential GDP,,,
ARM,Armenia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2022,18.69
ARM,Armenia,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2022,13.582
ARM,Armenia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.002
ARM,Armenia,Unemployment rate,Percent of total labor force,,Source: ILO Latest actual data: 2021 Employment type: National definition Primary domestic currency: Armenian dram Data last updated: 09/2022,15.1
ARM,Armenia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,24.898
ARM,Armenia,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.526
ARM,Armenia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,52.883
ARM,Armenia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-5.108
ABW,Aruba,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.95
ABW,Aruba,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.348
ABW,Aruba,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,714.05"
ABW,Aruba,Output gap in percent of potential GDP,Percent of potential GDP,,,
ABW,Aruba,Total investment,Percent of GDP,,,
ABW,Aruba,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021. The Central Bureau of Statistics (CBS) has compiled GDP at current prices by the production and expenditure approaches up to 2009 and has recently done so for the period 2013-17. GDP at constant prices by the expenditure approach has been estimated and disseminated by the Central Bank of Aruba up to 2017. In 2021, the CBS is still working on their update and revision of Aruba's National Account Statistics. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2000 Primary domestic currency: Aruban Florin Data last updated: 08/2022",25.244
ABW,Aruba,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.518
ABW,Aruba,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Aruban Florin Data last updated: 08/2022,7.672
ABW,Aruba,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,20.644
ABW,Aruba,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.293
ABW,Aruba,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,93.063
ABW,Aruba,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",3.263
AUS,Australia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.891
AUS,Australia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,704.48"
AUS,Australia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","64,847.54"
AUS,Australia,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",0.636
AUS,Australia,Total investment,Percent of GDP,,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2021. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2020. The base period is 2019Q3-2020Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2022",23.575
AUS,Australia,Gross national savings,Percent of GDP,,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2021. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2020. The base period is 2019Q3-2020Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2022",24.321
AUS,Australia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.798
AUS,Australia,Unemployment rate,Percent of total labor force,,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2021. Data refer to calendar years Employment type: National definition Primary domestic currency: Australian dollar Data last updated: 09/2022,3.727
AUS,Australia,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,34.819
AUS,Australia,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.97
AUS,Australia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,58.635
AUS,Australia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",0.746
AUT,Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1
AUT,Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",627.037
AUT,Austria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","69,399.47"
AUT,Austria,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.569
AUT,Austria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2022",27.348
AUT,Austria,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2022",25.271
AUT,Austria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.117
AUT,Austria,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2022,4.6
AUT,Austria,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,49.261
AUT,Austria,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-1.55
AUT,Austria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,77.25
AUT,Austria,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.077
AZE,Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.547
AZE,Azerbaijan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",189.759
AZE,Azerbaijan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","18,310.45"
AZE,Azerbaijan,Output gap in percent of potential GDP,Percent of potential GDP,,,
AZE,Azerbaijan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 08/2022",15.807
AZE,Azerbaijan,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 08/2022",46.263
AZE,Azerbaijan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.75
AZE,Azerbaijan,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2021 Employment type: Harmonized ILO definition Primary domestic currency: Azerbaijan manat Data last updated: 08/2022,5.82
AZE,Azerbaijan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,51.787
AZE,Azerbaijan,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,20.473
AZE,Azerbaijan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,22.149
AZE,Azerbaijan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",31.448
BHS,The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.097
BHS,The Bahamas,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.883
BHS,The Bahamas,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,416.85"
BHS,The Bahamas,Output gap in percent of potential GDP,Percent of potential GDP,,,
BHS,The Bahamas,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2022,27.527
BHS,The Bahamas,Gross national savings,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2022,13.444
BHS,The Bahamas,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.346
BHS,The Bahamas,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Bahamian dollar Data last updated: 09/2022,12.74
BHS,The Bahamas,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,20.805
BHS,The Bahamas,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-5.412
BHS,The Bahamas,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,86.608
BHS,The Bahamas,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-14.082
BHR,Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.981
BHR,Bahrain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",93.75
BHR,Bahrain,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","60,532.76"
BHR,Bahrain,Output gap in percent of potential GDP,Percent of potential GDP,,,
BHR,Bahrain,Total investment,Percent of GDP,,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 08/2022,32.771
BHR,Bahrain,Gross national savings,Percent of GDP,,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 08/2022,37.721
BHR,Bahrain,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3.396
BHR,Bahrain,Unemployment rate,Percent of total labor force,,Source: Other Latest actual data: 2021 Employment type: National definition Primary domestic currency: Bahrain dinar Data last updated: 08/2022,4.403
BHR,Bahrain,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,21.801
BHR,Bahrain,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-6.002
